"No.","Time","Source","Destination","Protocol","Length","Info"
"381","19.233553","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3064, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"382","19.335808","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3065, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"383","19.438214","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3066, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"384","19.540532","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3067, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"385","19.643201","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3068, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"392","19.745384","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3070, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"393","19.847780","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3071, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"394","19.950179","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3072, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"395","20.052584","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3073, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"396","20.154956","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3074, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"397","20.257290","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3075, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"398","20.359743","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3076, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"399","20.462160","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3077, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"400","20.564530","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3078, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"401","20.666931","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3079, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"406","20.769352","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3080, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"407","20.871729","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3081, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"408","20.974145","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3082, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"409","21.076548","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3083, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"410","21.178943","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3084, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"411","21.281326","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3085, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"412","21.383741","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3086, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"413","21.486083","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3087, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"414","21.588525","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3088, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"415","21.690804","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3089, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"422","21.793301","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3091, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"423","21.895702","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3092, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
