"No.","Time","Source","Destination","Protocol","Length","Info"
"432","1.603931","Cisco-Li_a6:53:7c","Broadcast","802.11","133","Beacon frame, SN=3400, FN=0, Flags=........C, BI=100, SSID=GISUM_W1"
"435","1.606688","Cisco_9a:9d:52","Broadcast","802.11","252","Beacon frame, SN=3723, FN=0, Flags=........C, BI=100, SSID=alumnos"
"436","1.612537","Cisco_1b:d5:01","Broadcast","802.11","252","Beacon frame, SN=854, FN=0, Flags=........C, BI=100, SSID=eduroam"
"441","1.617210","Cisco_9b:54:d5","Broadcast","802.11","248","Beacon frame, SN=3496, FN=0, Flags=........C, BI=100, SSID=pdi"
"442","1.618896","Cisco_9a:9d:54","Broadcast","802.11","252","Beacon frame, SN=3724, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"443","1.620599","Cisco_1b:d5:02","Broadcast","802.11","252","Beacon frame, SN=855, FN=0, Flags=........C, BI=100, SSID=alumnos"
"444","1.620824","Cisco_1b:d2:65","Broadcast","802.11","248","Beacon frame, SN=2563, FN=0, Flags=........C, BI=100, SSID=pdi"
"447","1.622400","Cisco_a9:50:a5","Broadcast","802.11","248","Beacon frame, SN=1304, FN=0, Flags=........C, BI=100, SSID=pdi"
"452","1.630114","Cisco_9b:54:d1","Broadcast","802.11","252","Beacon frame, SN=3497, FN=0, Flags=........C, BI=100, SSID=eduroam"
"453","1.631220","Cisco_9a:9d:50","Broadcast","802.11","248","Beacon frame, SN=3725, FN=0, Flags=........C, BI=100, SSID=pas"
"455","1.632563","Cisco_1b:d2:61","Broadcast","802.11","252","Beacon frame, SN=2565, FN=0, Flags=........C, BI=100, SSID=eduroam"
"456","1.632806","Cisco_1b:d5:04","Broadcast","802.11","252","Beacon frame, SN=868, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"460","1.635539","Cisco_a9:50:a1","Broadcast","802.11","252","Beacon frame, SN=1305, FN=0, Flags=........C, BI=100, SSID=eduroam"
"462","1.642613","Cisco-Li_b0:b7:56","Broadcast","802.11","312","Beacon frame, SN=1768, FN=0, Flags=........C, BI=100, SSID=ICB-Wifi"
"465","1.646424","Cisco_1b:d5:00","Broadcast","802.11","248","Beacon frame, SN=869, FN=0, Flags=........C, BI=100, SSID=pas"
"466","1.783768","Cisco_1b:d2:60","Broadcast","802.11","248","Beacon frame, SN=2590, FN=0, Flags=........C, BI=100, SSID=pas"
"469","1.786188","Cisco_a9:50:a0","Broadcast","802.11","248","Beacon frame, SN=1313, FN=0, Flags=........C, BI=100, SSID=pas"
"470","1.786853","Cisco_9a:9d:51","Broadcast","802.11","252","Beacon frame, SN=3733, FN=0, Flags=........C, BI=100, SSID=eduroam"
"471","1.788277","Cisco_1b:d5:05","Broadcast","802.11","248","Beacon frame, SN=887, FN=0, Flags=........C, BI=100, SSID=pdi"
"472","1.797239","Cisco-Li_72:e1:78","Broadcast","802.11","135","Beacon frame, SN=3437, FN=0, Flags=........C, BI=100, SSID=NEO"
"476","1.800637","Cisco_1b:d5:01","Broadcast","802.11","252","Beacon frame, SN=888, FN=0, Flags=........C, BI=100, SSID=eduroam"
"481","1.808639","Cisco-Li_a6:53:7c","Broadcast","802.11","133","Beacon frame, SN=3402, FN=0, Flags=........C, BI=100, SSID=GISUM_W1"
"482","1.811391","Cisco_9a:9d:52","Broadcast","802.11","252","Beacon frame, SN=3734, FN=0, Flags=........C, BI=100, SSID=alumnos"
"489","1.822287","Cisco_9b:54:d5","Broadcast","802.11","248","Beacon frame, SN=3532, FN=0, Flags=........C, BI=100, SSID=pdi"
"490","1.823667","Cisco_9a:9d:54","Broadcast","802.11","252","Beacon frame, SN=3735, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"491","1.825170","Cisco_1b:d2:65","Broadcast","802.11","248","Beacon frame, SN=2591, FN=0, Flags=........C, BI=100, SSID=pdi"
"492","1.825440","Cisco_1b:d5:02","Broadcast","802.11","252","Beacon frame, SN=889, FN=0, Flags=........C, BI=100, SSID=alumnos"
"499","1.961178","Cisco_9b:54:d2","Broadcast","802.11","252","Beacon frame, SN=3554, FN=0, Flags=........C, BI=100, SSID=alumnos"
"505","1.964503","Cisco_1b:d2:62","Broadcast","802.11","252","Beacon frame, SN=2615, FN=0, Flags=........C, BI=100, SSID=alumnos"
"508","1.966847","Cisco_a9:50:a2","Broadcast","802.11","252","Beacon frame, SN=1321, FN=0, Flags=........C, BI=100, SSID=alumnos"
"517","1.977402","Cisco_1b:d2:64","Broadcast","802.11","252","Beacon frame, SN=2624, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"518","1.978609","Cisco_a9:50:a4","Broadcast","802.11","252","Beacon frame, SN=1322, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"520","1.979241","Cisco_9a:9d:55","Broadcast","802.11","248","Beacon frame, SN=3743, FN=0, Flags=........C, BI=100, SSID=pdi"
"522","1.986053","Cisco_9b:54:d0","Broadcast","802.11","248","Beacon frame, SN=3566, FN=0, Flags=........C, BI=100, SSID=pas"
"524","1.988571","Cisco_1b:d2:60","Broadcast","802.11","248","Beacon frame, SN=2625, FN=0, Flags=........C, BI=100, SSID=pas"
"525","1.991135","Cisco_a9:50:a0","Broadcast","802.11","248","Beacon frame, SN=1323, FN=0, Flags=........C, BI=100, SSID=pas"
"526","1.991566","Cisco_9a:9d:51","Broadcast","802.11","252","Beacon frame, SN=3744, FN=0, Flags=........C, BI=100, SSID=eduroam"
"527","1.994304","Cisco_1b:d5:05","Broadcast","802.11","248","Beacon frame, SN=931, FN=0, Flags=........C, BI=100, SSID=pdi"
"529","2.001097","Cisco-Li_72:e1:78","Broadcast","802.11","135","Beacon frame, SN=3442, FN=0, Flags=........C, BI=100, SSID=NEO"
"537","2.141640","Cisco_9b:54:d1","Broadcast","802.11","252","Beacon frame, SN=3578, FN=0, Flags=........C, BI=100, SSID=eduroam"
"538","2.143248","Cisco_9a:9d:50","Broadcast","802.11","248","Beacon frame, SN=3754, FN=0, Flags=........C, BI=100, SSID=pas"
"539","2.144313","Cisco_1b:d2:61","Broadcast","802.11","252","Beacon frame, SN=2637, FN=0, Flags=........C, BI=100, SSID=eduroam"
"540","2.145422","Cisco_1b:d5:04","Broadcast","802.11","252","Beacon frame, SN=956, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"541","2.146660","Cisco_a9:50:a1","Broadcast","802.11","252","Beacon frame, SN=1333, FN=0, Flags=........C, BI=100, SSID=eduroam"
"547","2.154748","Cisco-Li_b0:b7:56","Broadcast","802.11","312","Beacon frame, SN=1773, FN=0, Flags=........C, BI=100, SSID=ICB-Wifi"
"548","2.157034","Cisco_1b:d5:00","Broadcast","802.11","248","Beacon frame, SN=957, FN=0, Flags=........C, BI=100, SSID=pas"
"554","2.166304","Cisco_9b:54:d2","Broadcast","802.11","252","Beacon frame, SN=3579, FN=0, Flags=........C, BI=100, SSID=alumnos"
"564","2.170215","Cisco_1b:d2:62","Broadcast","802.11","252","Beacon frame, SN=2638, FN=0, Flags=........C, BI=100, SSID=alumnos"
"568","2.171249","Cisco_a9:50:a2","Broadcast","802.11","252","Beacon frame, SN=1334, FN=0, Flags=........C, BI=100, SSID=alumnos"
"579","2.181244","Cisco_1b:d2:64","Broadcast","802.11","252","Beacon frame, SN=2651, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"584","2.320563","Cisco-Li_a6:53:7c","Broadcast","802.11","133","Beacon frame, SN=3407, FN=0, Flags=........C, BI=100, SSID=GISUM_W1"
"586","2.323153","Cisco_43:ba:c0","Broadcast","802.11","248","Beacon frame, SN=2318, FN=0, Flags=........C, BI=100, SSID=pas"
"587","2.323832","Cisco_9a:9d:52","Broadcast","802.11","252","Beacon frame, SN=3763, FN=0, Flags=........C, BI=100, SSID=alumnos"
"596","2.335708","Cisco_9a:9d:54","Broadcast","802.11","252","Beacon frame, SN=3764, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"597","2.336743","Cisco_1b:d2:65","Broadcast","802.11","248","Beacon frame, SN=2671, FN=0, Flags=........C, BI=100, SSID=pdi"
"599","2.337527","Cisco_1b:d5:02","Broadcast","802.11","252","Beacon frame, SN=988, FN=0, Flags=........C, BI=100, SSID=alumnos"
"602","2.339516","Cisco_a9:50:a5","Broadcast","802.11","248","Beacon frame, SN=1342, FN=0, Flags=........C, BI=100, SSID=pdi"
"607","2.346440","Cisco_9b:54:d1","Broadcast","802.11","252","Beacon frame, SN=3613, FN=0, Flags=........C, BI=100, SSID=eduroam"
"608","2.348214","Cisco_9a:9d:50","Broadcast","802.11","248","Beacon frame, SN=3765, FN=0, Flags=........C, BI=100, SSID=pas"
"609","2.349024","Cisco_1b:d2:61","Broadcast","802.11","252","Beacon frame, SN=2672, FN=0, Flags=........C, BI=100, SSID=eduroam"
"611","2.352292","Cisco_a9:50:a1","Broadcast","802.11","252","Beacon frame, SN=1343, FN=0, Flags=........C, BI=100, SSID=eduroam"
"617","2.361235","Cisco-Li_b0:b7:56","Broadcast","802.11","312","Beacon frame, SN=1775, FN=0, Flags=........C, BI=100, SSID=ICB-Wifi"
"618","2.362790","Cisco_1b:d5:00","Broadcast","802.11","248","Beacon frame, SN=1003, FN=0, Flags=........C, BI=100, SSID=pas"
"620","2.370988","Cisco_9b:54:d2","Broadcast","802.11","252","Beacon frame, SN=3614, FN=0, Flags=........C, BI=100, SSID=alumnos"
"627","2.373721","Cisco_1b:d2:62","Broadcast","802.11","252","Beacon frame, SN=2673, FN=0, Flags=........C, BI=100, SSID=alumnos"
"633","2.376242","Cisco_a9:50:a2","Broadcast","802.11","252","Beacon frame, SN=1344, FN=0, Flags=........C, BI=100, SSID=alumnos"
"647","2.383265","Cisco_9b:54:d4","Broadcast","802.11","252","Beacon frame, SN=3628, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"648","2.385983","Cisco_1b:d2:64","Broadcast","802.11","252","Beacon frame, SN=2687, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"649","2.388463","Cisco_a9:50:a4","Broadcast","802.11","252","Beacon frame, SN=1345, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"651","2.389799","Cisco_9a:9d:55","Broadcast","802.11","248","Beacon frame, SN=3766, FN=0, Flags=........C, BI=100, SSID=pdi"
"652","2.395637","Cisco_9b:54:d0","Broadcast","802.11","248","Beacon frame, SN=3629, FN=0, Flags=........C, BI=100, SSID=pas"
"654","2.398513","Cisco_1b:d2:60","Broadcast","802.11","248","Beacon frame, SN=2688, FN=0, Flags=........C, BI=100, SSID=pas"
"656","2.400764","Cisco_a9:50:a0","Broadcast","802.11","248","Beacon frame, SN=1346, FN=0, Flags=........C, BI=100, SSID=pas"
"657","2.401836","Cisco_9a:9d:51","Broadcast","802.11","252","Beacon frame, SN=3767, FN=0, Flags=........C, BI=100, SSID=eduroam"
"658","2.403817","Cisco_1b:d5:05","Broadcast","802.11","248","Beacon frame, SN=1004, FN=0, Flags=........C, BI=100, SSID=pdi"
"659","2.413281","Cisco_43:ba:c4","Broadcast","802.11","252","Beacon frame, SN=2323, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"660","2.417706","Cisco-Li_72:e1:78","Broadcast","802.11","135","Beacon frame, SN=3458, FN=0, Flags=........C, BI=100, SSID=NEO"
"666","2.423839","Cisco-Li_a6:53:7c","Broadcast","802.11","133","Beacon frame, SN=3408, FN=0, Flags=........C, BI=100, SSID=GISUM_W1"
"668","2.426223","Cisco_9a:9d:52","Broadcast","802.11","252","Beacon frame, SN=3768, FN=0, Flags=........C, BI=100, SSID=alumnos"
"677","2.436409","Cisco_9b:54:d5","Broadcast","802.11","248","Beacon frame, SN=3630, FN=0, Flags=........C, BI=100, SSID=pdi"
"679","2.438678","Cisco_9a:9d:54","Broadcast","802.11","252","Beacon frame, SN=3769, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"680","2.439081","Cisco_1b:d2:65","Broadcast","802.11","248","Beacon frame, SN=2689, FN=0, Flags=........C, BI=100, SSID=pdi"
"681","2.439731","Cisco_1b:d5:02","Broadcast","802.11","252","Beacon frame, SN=1006, FN=0, Flags=........C, BI=100, SSID=alumnos"
"684","2.441539","Cisco_a9:50:a5","Broadcast","802.11","248","Beacon frame, SN=1347, FN=0, Flags=........C, BI=100, SSID=pdi"
"691","2.450243","Cisco_9a:9d:50","Broadcast","802.11","248","Beacon frame, SN=3770, FN=0, Flags=........C, BI=100, SSID=pas"
"692","2.451365","Cisco_1b:d2:61","Broadcast","802.11","252","Beacon frame, SN=2690, FN=0, Flags=........C, BI=100, SSID=eduroam"
"693","2.452109","Cisco_1b:d5:04","Broadcast","802.11","252","Beacon frame, SN=1014, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"695","2.453766","Cisco_a9:50:a1","Broadcast","802.11","252","Beacon frame, SN=1349, FN=0, Flags=........C, BI=100, SSID=eduroam"
"698","2.461823","Cisco-Li_b0:b7:56","Broadcast","802.11","312","Beacon frame, SN=1776, FN=0, Flags=........C, BI=100, SSID=ICB-Wifi"
"702","2.464199","Cisco_1b:d5:00","Broadcast","802.11","248","Beacon frame, SN=1015, FN=0, Flags=........C, BI=100, SSID=pas"
"708","2.473462","Cisco_9b:54:d2","Broadcast","802.11","252","Beacon frame, SN=3632, FN=0, Flags=........C, BI=100, SSID=alumnos"
"717","2.476087","Cisco_1b:d2:62","Broadcast","802.11","252","Beacon frame, SN=2691, FN=0, Flags=........C, BI=100, SSID=alumnos"
